market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Series_A_Rate,Failure_Rate_Pct,Series_A_Rate_Pct
Public Relations,87,17,6977096.390804598,1.4367816091954022,0.26436781609195403,19.54,26.44
Web Development,79,11,4568353.911392405,1.4556962025316456,0.3037974683544304,13.92,30.38
Curated Web,960,132,4502551.814583333,1.6552083333333334,0.26875,13.75,26.88
Social Network Media,113,14,3833571.8230088498,1.8141592920353982,0.24778761061946902,12.39,24.78
Android,59,7,3532123.779661017,1.9491525423728813,0.288135593220339,11.86,28.81
Networking,107,12,7420242.897196262,1.7476635514018692,0.34579439252336447,11.21,34.58
Social Media,528,58,4134904.350378788,1.7234848484848484,0.29545454545454547,10.98,29.55
Search,171,18,6650942.567251462,1.8830409356725146,0.3391812865497076,10.53,33.92
Internet Marketing,52,5,5176017.730769231,1.8846153846153846,0.28846153846153844,9.62,28.85
Music,160,15,5812690.8375,1.8125,0.29375,9.38,29.38
Messaging,174,16,7020284.568965517,1.8275862068965518,0.3390804597701149,9.2,33.91
Games,673,60,6882511.692421991,1.7384843982169391,0.3699851411589896,8.92,37.0
Consulting,215,18,6622605.28372093,1.3674418604651162,0.1813953488372093,8.37,18.14
Sports,138,11,3036985.275362319,1.644927536231884,0.14492753623188406,7.97,14.49
Advertising,674,51,8959034.295252226,2.108308605341246,0.413946587537092,7.57,41.39
Semiconductors,322,24,18919576.161490683,2.62111801242236,0.6863354037267081,7.45,68.63
Mobile,1265,89,7745457.316996047,1.9881422924901186,0.34545454545454546,7.04,34.55
Video,133,9,9267200.661654135,2.1654135338345863,0.46616541353383456,6.77,46.62
Clean Technology,610,39,15050335.027868852,2.259016393442623,0.4245901639344262,6.39,42.46
Web Hosting,271,17,14350040.0,1.8597785977859778,0.46863468634686345,6.27,46.86
Automotive,102,6,8042145.568627451,2.0294117647058822,0.35294117647058826,5.88,35.29
Marketplaces,137,8,3580556.437956204,1.6423357664233578,0.19708029197080293,5.84,19.71
News,195,11,5597180.81025641,1.5333333333333334,0.29743589743589743,5.64,29.74
Nonprofits,73,4,2398823.506849315,1.7123287671232876,0.136986301369863,5.48,13.7
Security,343,18,10676983.586005831,2.0408163265306123,0.5102040816326531,5.25,51.02
E-Commerce,1013,53,6996631.271470878,1.8124383020730503,0.32773938795656465,5.23,32.77
Hardware + Software,691,36,8667536.234442836,1.918958031837916,0.32706222865412443,5.21,32.71
Software,3037,155,7329628.469871583,1.7942048073756998,0.3539677313137965,5.1,35.4
Legal,59,3,5590753.135593221,1.8644067796610169,0.3050847457627119,5.08,30.51
Medical Devices,83,4,13041248.891566265,2.0481927710843375,0.3493975903614458,4.82,34.94
Cloud Computing,106,5,8540966.528301887,2.19811320754717,0.3867924528301887,4.72,38.68
Travel,199,9,6104307.005025126,1.678391959798995,0.2914572864321608,4.52,29.15
Photography,136,6,5912565.669117647,1.6985294117647058,0.33088235294117646,4.41,33.09
Retail,71,3,7384043.126760564,1.704225352112676,0.29577464788732394,4.23,29.58
Startups,98,4,3090217.224489796,1.5204081632653061,0.17346938775510204,4.08,17.35
Hardware,50,2,10512210.6,2.26,0.44,4.0,44.0
Sales and Marketing,82,3,5370471.426829268,1.8902439024390243,0.35365853658536583,3.66,35.37
Finance,483,17,9483890.900621118,1.9710144927536233,0.34368530020703936,3.52,34.37
